Generation,Avg,Max,Min,Time_s,s_per_ind
1,35.88,51.84,13.68,92.2,1.54
2,38.63,50.58,20.56,75.4,1.26
3,41.50,52.04,22.74,63.8,1.06
4,39.04,50.62,19.36,67.0,1.12
5,39.89,48.64,20.8,57.4,0.96
6,43.46,51.76,28.28,58.6,0.98
7,42.08,49.64,29.9,58.6,0.98
8,44.03,52.7,30.14,62.2,1.04
9,43.07,51.54,27.9,52.8,0.88
10,43.88,50.52,33.7,53.0,0.88
11,45.60,52.86,35.98,60.6,1.01
12,47.14,52.94,35.46,51.9,0.86
13,45.67,50.8,37.72,57.9,0.97
14,47.42,52.82,37.6,46.9,0.78
15,45.66,51.72,34.12,49.0,0.82
16,46.90,54.1,39.74,1046.5,17.44
17,48.88,56.34,36.28,41.8,0.70
18,49.40,55.0,37.28,40.4,0.67
19,48.17,53.98,39.28,43.8,0.73
20,46.51,52.9,35.1,41.9,0.70
21,48.02,53.9,34.9,39.0,0.65
22,49.42,54.14,33.9,46.4,0.77
23,49.67,57.56,37.36,38.5,0.64
24,48.24,54.82,41.36,52.8,0.88
25,48.64,56.52,30.28,44.5,0.74
26,46.78,51.94,33.86,46.3,0.77
27,52.14,56.2,47.4,40.3,0.67
28,48.03,57.18,40.32,54.4,0.91
29,47.92,56.32,31.72,42.4,0.71
30,48.74,55.44,38.6,45.3,0.76
